mineral_name,mineral_group,mineral_frequency,sample_label,rock_name,classification,latitude,longitude,doi/ref,igsn,analytical_method,data_source,SiO2,TiO2,Al2O3,FeO,MnO,MgO,Cr2O3,Fe2O3,CaO,Na2O,K2O,P2O5,NiO,BaO,CO2,SO3,SO2,PbO,SrO,ZrO2,Nb2O5,B2O3,WO3,As2O5,ZnO,MoO3,CuO,CdO,Mn2O3,Cu2O,SnO,BeO,SnO2,H2O,F,Cl,Si,Ti,Al,Fe,S,C,Cu,Pb,Zn,Co,Ni,As,Ag,Sb,Hg,Bi,Te,Mo,Mn,Mg,Ca,Na,K,Cr,Sr,Ba,Y2O3,Sc2O3,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Gd2O3,Dy2O3,ThO2,UO2,Tb2O3,V2O5,Li,PbO2,TeO2,V2O3,MnO2,Li2O,Cs2O,GeO2,Rb2O,NH42O,Ti2O3
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14,,,,,,,,87.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,,,,,,,,86.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,,,,,,,,87.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.19,,,,,,,,87.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69,,,,,,,,86.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,,,,87.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,,,,,,,,85.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14,,,,,,,,87.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acanthite,sulfide,,,,,,,,,,Synthetic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88,,,,,,,,86.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
